"9","H03BB02","THIAMAZOLE","68:36.08","ANTITHYROID AGENTS","",""
"15","N06AA10","NORTRIPTYLINE","28:16.04.28","TRICYCLICS AND OTHER NOREPINEPHRINE-REUPTAKE INHIBITORS","",""
"16","N06AA10","NORTRIPTYLINE","28:16.04.28","TRICYCLICS AND OTHER NOREPINEPHRINE-REUPTAKE INHIBITORS","",""
"57","D02AC","SOFT PARAFFIN AND FAT PRODUCTS","84:24.12","BASIC OINTMENTS AND PROTECTANTS","",""
"68","V04CG05","METHYLTHIONINE","92:00.00","MISCELLANEOUS THERAPEUTIC AGENTS","",""
"69","V03AB17","METHYLTHIONINIUM CHLORIDE","92:12.00","ANTIDOTES","",""
"115","B05CB01","SODIUM CHLORIDE","40:12.00","REPLACEMENT PREPARATIONS","",""
"117","V07AB","SOLVENTS AND DILUTING AGENTS,INCL IRRIGAT SOLUT","40:50.00*","DILUENTS","",""
"160","A03AD01","PAPAVERINE","24:12.92","MISCELLANEOUS VASODILATATING AGENTS","",""
"187","A02AF02","ORDINARY SALT COMBINATIONS AND ANTIFLATULENTS","56:04.00","ANTACIDS AND ADSORBENTS","",""
"188","A02AF02","ORDINARY SALT COMBINATIONS AND ANTIFLATULENTS","56:04.00","ANTACIDS AND ADSORBENTS","",""
"193","R06AA02","DIPHENHYDRAMINE","56:22.08","ANTIHISTAMINES","",""
"197","R06AA02","DIPHENHYDRAMINE","56:22.08","ANTIHISTAMINES","",""
"198","A03AX13","SILICONES","56:10.00","ANTIFLATULENTS","",""
"211","D04AB01","LIDOCAINE","84:08.00","ANTIPRURITICS AND LOCAL ANESTHETICS","",""
"212","N01BB02","LIDOCAINE","84:08.00","ANTIPRURITICS AND LOCAL ANESTHETICS","",""
"227","M03AB01","SUXAMETHONIUM","12:20.20","NEUROMUSCULAR BLOCKING AGENTS","",""
"228","B05CB01","SODIUM CHLORIDE","40:36.00","IRRIGATING SOLUTIONS","",""
"229","V07AB","SOLVENTS AND DILUTING AGENTS,INCL IRRIGAT SOLUT","40:36.00","IRRIGATING SOLUTIONS","",""
