"2030","A08AA05","MAZINDOL","28:20.00","ANOREXIGENIC AGENTS & RESPIRATORY AND CNS STIMULANTS","",""
"5617","A08AA05","MAZINDOL","28:20.92","ANOREXIGENIC AGENTS & RESPIRATORY AND CEREBRAL STIMULANTS, MISCELLANEOUS","",""
"7203","S01GA01","NAPHAZOLINE","52:32.00","VASOCONSTRICTORS","",""
"10991","D01AC01","CLOTRIMAZOLE","84:04.08.08","AZOLES","",""
"10992","G01AF02","CLOTRIMAZOLE","84:04.08.08","AZOLES","",""
"10993","G01AF02","CLOTRIMAZOLE","84:04.08.08","AZOLES","",""
"14535","N06AA04","CLOMIPRAMINE","28:16.04.28","TRICYCLICS AND OTHER NOREPINEPHRINE-REUPTAKE INHIBITORS","",""
"14536","N06AA04","CLOMIPRAMINE","28:16.04.28","TRICYCLICS AND OTHER NOREPINEPHRINE-REUPTAKE INHIBITORS","",""
"14537","N06AA04","CLOMIPRAMINE","28:16.04.28","TRICYCLICS AND OTHER NOREPINEPHRINE-REUPTAKE INHIBITORS","",""
"15207","D06AX09","MUPIROCIN","84:04.04","ANTIBIOTICS","",""
"21854","V07AV","TECHNICAL DISINFECTANTS","38:00.00","DISINFECTANTS (FOR AGENTS USED ON OBJECT)","",""
"21855","V07AV","TECHNICAL DISINFECTANTS","38:00.00","DISINFECTANTS (FOR AGENTS USED ON OBJECT)","",""
"25876","V07AV","TECHNICAL DISINFECTANTS","38:00.00","DISINFECTANTS (FOR AGENTS USED ON OBJECT)","",""
"25882","V07AV","TECHNICAL DISINFECTANTS","38:00.00","DISINFECTANTS (FOR AGENTS USED ON OBJECT)","",""
"36396","V07AV","TECHNICAL DISINFECTANTS","38:00.00","DISINFECTANTS (FOR AGENTS USED ON OBJECT)","",""
"36398","V07AV","TECHNICAL DISINFECTANTS","38:00.00","DISINFECTANTS (FOR AGENTS USED ON OBJECT)","",""
"36818","N02BE51","ACETAMINOPHEN, COMB EXCL PSYCHOLEPTICS","28:08.92","MISCELLANEOUS ANALGESICS AND ANTIPYRETICS","",""
"36818","N02BE51","ACETAMINOPHEN, COMB EXCL PSYCHOLEPTICS","04:04.20","PROPYLAMINE DERIVATIVES","",""
"37495","J01CA01","AMPICILLIN","08:12.16.08","AMINOPENICILLINS","",""
"42929","B01AB02","ANTITHROMBIN","20:12.04.12","DIRECT THROMBIN INHIBITORS","",""
"42972","S01ED01","TIMOLOL","52:40.08","BETA-ADRENERGIC AGENTS","",""
"42973","S01ED01","TIMOLOL","52:40.08","BETA-ADRENERGIC AGENTS","",""
"43379","B02AB02","ALFA1 ANTITRYPSIN","44:00.00","ENZYMES","",""
"43380","B02AB02","ALFA1 ANTITRYPSIN","44:00.00","ENZYMES","",""
"43612","C08CA01","AMLODIPINE","24:28.08","DIHYDROPYRIDINES","",""
"43968","H05BA01","CALCITONIN (SALMON SYNTHETIC)","68:24.00","PARATHYROID AND ANTIPARATHYROID AGENTS","",""
"44174","R06AX17","KETOTIFEN","04:92.00","OTHER ANTIHISTAMINES","",""
"45666","N06AA09","AMITRIPTYLINE","28:16.04.28","TRICYCLICS AND OTHER NOREPINEPHRINE-REUPTAKE INHIBITORS","",""
"48052","D08AE04","TRICLOSAN","84:04.92","MISCELLANEOUS LOCAL ANTI-INFECTIVES","",""
"48204","V07AV","TECHNICAL DISINFECTANTS","38:00.00","DISINFECTANTS (FOR AGENTS USED ON OBJECT)","",""
"48992","D02BA30","COMBINATIONS OF PROTECTIVES AGAINST UV-RADIATION","84:80.00","SUNSCREEN AGENTS","",""
"48993","D02BA02","OCTYL METHOXYCINNAMATE","84:80.00","SUNSCREEN AGENTS","",""
"49008","J07AJ52","PERTUSSIS, PURIFIED ANTIGEN, COMB. WITH TOXOIDS","80:08.00","TOXOIDS","",""
"49008","J07AJ52","PERTUSSIS, PURIFIED ANTIGEN, COMB. WITH TOXOIDS","80:12.00","VACCINES","",""
"49239","A06AB02","BISACODYL","56:12.00","CATHARTICS AND LAXATIVES","",""
"49246","N05AF05","ZUCLOPENTHIXOL","28:16.08.32","THIOXANTHENES","",""
"49285","A11JC","VITAMINS, OTHER COMBINATIONS","88:20.00","VITAMIN E","",""
"49285","A11JC","VITAMINS, OTHER COMBINATIONS","88:30.00*","OTHER NUTRITIONAL AGENTS","",""
"49593","L02BB01","FLUTAMIDE","10:00.00","ANTINEOPLASTIC AGENTS","",""
"49644","A11AA03","MULTIVITAMINS AND OTHER MINERALS INCL COMBINATIONS","88:28.01*","VITAMINS & MINERALS","",""
"49781","J01CA04","AMOXICILLIN","08:12.16.08","AMINOPENICILLINS","",""
"49783","J01CA04","AMOXICILLIN","08:12.16.08","AMINOPENICILLINS","",""
"49790","J01CA04","AMOXICILLIN","08:12.16.08","AMINOPENICILLINS","",""
"49791","J01CA04","AMOXICILLIN","08:12.16.08","AMINOPENICILLINS","",""
"50139","V01AA07","INSECTS","92:05.00*","ALLERGENIC EXTRACTS","",""
"50325","S01XA20","ARTIFICIAL TEARS AND OTHER INDIFFERENT PREPARATIONS.","52:12.00","CONTACT LENS SOLUTIONS","",""
"50341","M01AE11","TIAPROFENIC ACID","28:08.04.92","OTHER NONSTEROIDAL ANTIIMFLAMMATORY AGENTS","",""
"50430","A11AA03","MULTIVITAMINS AND OTHER MINERALS INCL COMBINATIONS","88:28.01*","VITAMINS & MINERALS","",""
"50444","B02BC06","THROMBIN","20:28.16","HEMOSTATICS","",""
"50445","B02BC06","THROMBIN","20:28.16","HEMOSTATICS","",""
"50446","B02BC06","THROMBIN","20:28.16","HEMOSTATICS","",""
"50447","B02BC06","THROMBIN","20:28.16","HEMOSTATICS","",""
"50448","B02BC06","THROMBIN","20:28.16","HEMOSTATICS","",""
"50499","N06AB08","FLUVOXAMINE","28:16.04.20","SELECTIVE-SEROTONIN REUPTAKE INHIBITORS","",""
"50500","N06AB08","FLUVOXAMINE","28:16.04.20","SELECTIVE-SEROTONIN REUPTAKE INHIBITORS","",""
"50562","N06AX02","TRYPTOPHAN","28:16.04.92","MISCELLANEOUS ANTIDEPRESSANTS","",""
"50629","V01AA03","HOUSE DUST MITES","92:05.00*","ALLERGENIC EXTRACTS","",""
"50630","V01AA03","HOUSE DUST MITES","92:05.00*","ALLERGENIC EXTRACTS","",""
"50712","N05AN01","LITHIUM","28:28.00","ANTIMANIC AGENTS","",""
"50713","N05AN01","LITHIUM","28:28.00","ANTIMANIC AGENTS","",""
"50714","N05AN01","LITHIUM","28:28.00","ANTIMANIC AGENTS","",""
"50826","C10AB05","FENOFIBRATE","24:06.06","FRIBIC ACID DERIVATIVES","",""
"50856","V07AV","TECHNICAL DISINFECTANTS","38:00.00","DISINFECTANTS (FOR AGENTS USED ON OBJECT)","",""
"50864","D11AC30","OTHERS","84:28.00","KERATOLYTIC AGENTS","",""
"50884","N03AF01","CARBAMAZEPINE","28:12.92","MISCELLANEOUS ANTICONVULSANTS","",""
"50888","C07AB02","METOPROLOL","24:24.00","BETA-ADRENERGIC BLOCKING AGENTS","",""
"50889","C07AB02","METOPROLOL","24:24.00","BETA-ADRENERGIC BLOCKING AGENTS","",""
"50990","D02AF","SALICYLIC ACID PREPARATIONS","84:28.00","KERATOLYTIC AGENTS","",""
"51006","A11JB","VITAMINS WITH MINERALS","88:28.01*","VITAMINS & MINERALS","",""
"51023","D06AA04","TETRACYCLINE","08:12.24","TETRACYCLINES","",""
"51045","N03AF01","CARBAMAZEPINE","28:12.92","MISCELLANEOUS ANTICONVULSANTS","",""
"51057","V07AV","TECHNICAL DISINFECTANTS","38:00.00","DISINFECTANTS (FOR AGENTS USED ON OBJECT)","",""
"51059","V07AV","TECHNICAL DISINFECTANTS","38:00.00","DISINFECTANTS (FOR AGENTS USED ON OBJECT)","",""
"51135","A01AA51","SODIUM FLUORIDE, COMBINATIONS","34:00.00","DENTAL AGENTS","",""
"51136","A01AA51","SODIUM FLUORIDE, COMBINATIONS","34:00.00","DENTAL AGENTS","",""
"51140","C02CA04","DOXAZOSIN","24:20.00","ALPHA-ADRENERGIC BLOCKING AGENTS","",""
"51152","A09AC02","MULTIENZYMES AND ACID PREPARATIONS","56:16.00","DIGESTANTS","",""
"51278","D08AC02","CHLORHEXIDINE","84:04.92","MISCELLANEOUS LOCAL ANTI-INFECTIVES","",""
"51919","A11JA","COMBINATIONS OF VITAMINS","88:08.00","VITAMIN B COMPLEX","",""
"51919","A11JA","COMBINATIONS OF VITAMINS","88:12.00","VITAMIN C","",""
"52141","M04AA01","ALLOPURINOL","92:16.00","ANTIGOUT AGENTS","",""
