"31","A11EX","VITAMIN B-COMPLEX, OTHER COMBINATIONS","88:08.00","VITAMIN B COMPLEX","",""
"157","N02BA01","ACETYLSALICYLIC ACID","28:08.04.24","SALICYLATES","",""
"209","N01BB02","LIDOCAINE","52:16.00","LOCAL ANESTHETICS","",""
"232","QN05CA01","PENTOBARBITAL","","","",""
"468","N02BA01","ACETYLSALICYLIC ACID","28:08.04.24","SALICYLATES","",""
"672","J07BX01","SMALLPOX, LIVE ATTENUATED","80:12.00","VACCINES","",""
"784","N05AF04","TIOTIXENE","28:16.08.32","THIOXANTHENES","",""
"869","D08AJ01","BENZALKONIUM","84:04.92","MISCELLANEOUS LOCAL ANTI-INFECTIVES","",""
"1025","N02AJ07","CODEINE AND ACETYLSALICYLIC ACID","28:08.08","OPIATE AGONISTS","",""
"1025","N02AJ07","CODEINE AND ACETYLSALICYLIC ACID","28:08.04.24","SALICYLATES","",""
"1147","D07AC01","BETAMETHASONE","84:06.00","ANTI-INFLAMMATORY AGENTS","",""
"1184","J01DB01","CEFALEXIN","08:12.06.04","FIRST GENERATION CEPHALOSPORINS","",""
"1212","J01DB01","CEFALEXIN","08:12.06.04","FIRST GENERATION CEPHALOSPORINS","",""
"1436","D08AC02","CHLORHEXIDINE","84:04.92","MISCELLANEOUS LOCAL ANTI-INFECTIVES","",""
"1386","QS03AA08","CHLORAMPHENICOL","","","",""
"1434","J01DB01","CEFALEXIN","08:12.06.04","FIRST GENERATION CEPHALOSPORINS","",""
"1548","B05BB02","ELECTROLYTES WITH CARBOHYDRATES","40:12.00","REPLACEMENT PREPARATIONS","",""
"1598","M01AG01","MEFENAMIC ACID","28:08.04.92","OTHER NONSTEROIDAL ANTIIMFLAMMATORY AGENTS","",""
"1657","G03CA57","CONJUGATED ESTROGENS","68:16.04","ESTROGENS","",""
"1737","B05BB02","ELECTROLYTES WITH CARBOHYDRATES","40:12.00","REPLACEMENT PREPARATIONS","",""
"1690","N06AA09","AMITRIPTYLINE","28:16.04.28","TRICYCLICS AND OTHER NOREPINEPHRINE-REUPTAKE INHIBITORS","",""
"1695","G04BX06","PHENAZOPYRIDINE","84:08.00","ANTIPRURITICS AND LOCAL ANESTHETICS","",""
"1723","C03AA03","HYDROCHLOROTHIAZIDE","40:28.20","THIAZIDE DIURETICS","",""
"1739","B05BB02","ELECTROLYTES WITH CARBOHYDRATES","40:12.00","REPLACEMENT PREPARATIONS","",""
"1828","J04AK01","PYRAZINAMIDE","08:16.04","ANTITUBERCULOSIS AGENTS","",""
"1829","C03AA03","HYDROCHLOROTHIAZIDE","40:28.20","THIAZIDE DIURETICS","",""
"1878","N06AA09","AMITRIPTYLINE","28:16.04.28","TRICYCLICS AND OTHER NOREPINEPHRINE-REUPTAKE INHIBITORS","",""
"1892","M04AA01","ALLOPURINOL","92:16.00","ANTIGOUT AGENTS","",""
"1929","N06AA09","AMITRIPTYLINE","28:16.04.28","TRICYCLICS AND OTHER NOREPINEPHRINE-REUPTAKE INHIBITORS","",""
"1978","G03CA","NATURAL AND SEMISYNTHETIC ESTROGENS, PLAIN","68:16.04","ESTROGENS","",""
"2058","N05AG02","PIMOZIDE","28:16.08.92","MISCELLANEOUS ANTIPSYCHOTICS","",""
