"10022","CRUSTACEANS","LOBSTERS","Crustacés"
"10022","FINFISH","SALMONIDS","Poisson À Nageoires"
"10023","DOGS","","Chiens"
"10033","CATTLE","CALVES","Bétails"
"10033","POULTRY","CHICKENS","Volaille"
"10033","POULTRY","TURKEYS","Volaille"
"10033","SHEEP","","Mouton"
"10033","SWINE (PIGS)","","Porcs"
"10053","CATTLE","DAIRY CATTLE","Bétails"
"10072","DOG OR CAT","","Chien Ou Chat"
"1010","CATTLE","COWS-LACTATING","Bétails"
"1011","HORSES","","Cheveaux"
"1011","POULTRY","","Volaille"
"1011","SWINE (PIGS)","","Porcs"
"10127","CATTLE","DAIRY CATTLE","Bétails"
"1015","SWINE (PIGS)","","Porcs"
"10167","POULTRY","BREEDER CHICKENS","Volaille"
"10167","POULTRY","BROILER CHICKENS","Volaille"
"10167","POULTRY","REPLACEMENT CHICKENS","Volaille"
"10167","SWINE (PIGS)","","Porcs"
"1017","DOGS","","Chiens"
"10191","CATS","","Chats"
"10191","CATTLE","","Bétails"
"10191","DOGS","","Chiens"
"10191","HORSES","","Cheveaux"
"10191","POULTRY","CHICKS","Volaille"
"10191","POULTRY","TURKEYS","Volaille"
"10191","SWINE (PIGS)","PIGLETS","Porcs"
"10199","CATTLE","","Bétails"
"10199","SHEEP","","Mouton"
"10199","SWINE (PIGS)","","Porcs"
"1020","CATTLE","","Bétails"
"1020","HORSES","","Cheveaux"
"1020","SHEEP","","Mouton"
"10207","POULTRY","","Volaille"
"10219","CATS","","Chats"
"10219","DOGS","","Chiens"
"10219","HORSES","","Cheveaux"
"10220","CATTLE","","Bétails"
"10220","HORSES","","Cheveaux"
"10221","GENERAL - MISC.","","Général-Misc"
"10223","CATTLE","COWS-LACTATING","Bétails"
"10225","DOGS","","Chiens"
"1023","CATTLE","","Bétails"
"1023","POULTRY","","Volaille"
"10293","POULTRY","CHICKENS","Volaille"
"10293","POULTRY","TURKEYS","Volaille"
"10293","SWINE (PIGS)","","Porcs"
"10295","CATTLE","COWS-DRY","Bétails"
"10305","CATTLE","","Bétails"
"10305","DOG OR CAT","","Chien Ou Chat"
"10305","HORSES","","Cheveaux"
"10306","DOG OR CAT","","Chien Ou Chat"
"10306","HORSES","","Cheveaux"
"10381","DOG OR CAT","","Chien Ou Chat"
"10424","CATS","","Chats"
"10424","DOGS","","Chiens"
"10426","SWINE (PIGS)","","Porcs"
"10455","CATTLE","DAIRY CATTLE","Bétails"
"10470","CATTLE","","Bétails"
"10470","HORSES","","Cheveaux"
"10470","SWINE (PIGS)","","Porcs"
"10481","CATS","","Chats"
"10481","DOGS","","Chiens"
"10510","CATS","","Chats"
"10510","DOGS","","Chiens"
"10527","HORSES","","Cheveaux"
"10528","DOGS","","Chiens"
"10529","DOGS","","Chiens"
"10530","DOG OR CAT","","Chien Ou Chat"
"10532","CATS","","Chats"
"10532","DOGS","","Chiens"
"10536","DOG OR CAT","","Chien Ou Chat"
"10540","CATTLE","DAIRY CATTLE","Bétails"
"10574","CATTLE","BEEF CATTLE","Bétails"
"10574","CATTLE","CALVES","Bétails"
"10574","POULTRY","CHICKENS","Volaille"
"10574","POULTRY","TURKEYS","Volaille"
"10574","SHEEP","LAMB","Mouton"
"10574","SWINE (PIGS)","","Porcs"
"10576","CATS","","Chats"
"10576","DOGS","","Chiens"
"10577","CATS","","Chats"
"10577","DOGS","","Chiens"
"1061","CATTLE","COWS","Bétails"
"1061","SHEEP","EWES","Mouton"
"1061","SWINE (PIGS)","SOWS","Porcs"
"10671","DOG OR CAT","","Chien Ou Chat"
"10676","DOG OR CAT","","Chien Ou Chat"
"10677","DOG OR CAT","","Chien Ou Chat"
"10678","DOG OR CAT","","Chien Ou Chat"
"10679","DOG OR CAT","","Chien Ou Chat"
"10760","CATS","","Chats"
"10760","DOGS","","Chiens"
"10761","CATS","","Chats"
"10761","DOGS","","Chiens"
"10763","SWINE (PIGS)","","Porcs"
"10782","CATTLE","","Bétails"
"10782","DOGS","","Chiens"
"10783","CATS","","Chats"
"10783","DOGS","","Chiens"
"10784","DOG OR CAT","","Chien Ou Chat"
"10786","CATS","","Chats"
"10786","DOGS","","Chiens"
"10787","CATS","","Chats"
"10787","DOGS","","Chiens"
"10797","POULTRY","","Volaille"
"10798","CATTLE","","Bétails"
"10798","HORSES","","Cheveaux"
"10798","SWINE (PIGS)","","Porcs"
"10799","POULTRY","","Volaille"
"10815","CATS","","Chats"
"10815","DOGS","","Chiens"
"10816","DOG OR CAT","","Chien Ou Chat"
"10843","BIRDS","","Oiseaux"
"10880","CATTLE","","Bétails"
"10880","DOG OR CAT","","Chien Ou Chat"
"10880","HORSES","","Cheveaux"
"10880","SWINE (PIGS)","","Porcs"
"10881","CATS","","Chats"
"10881","CATTLE","","Bétails"
"10881","DOGS","","Chiens"
"10881","HORSES","","Cheveaux"
"10881","SHEEP","","Mouton"
"10881","SWINE (PIGS)","","Porcs"
"10882","CATTLE","","Bétails"
"10882","DOG OR CAT","","Chien Ou Chat"
"10882","HORSES","","Cheveaux"
"10882","SWINE (PIGS)","","Porcs"
"10889","CATTLE","","Bétails"
"10889","HORSES","","Cheveaux"
"10898","CATS","","Chats"
"10898","DOGS","","Chiens"
"10914","CATTLE","COWS-DRY","Bétails"
"10919","CATTLE","","Bétails"
"10919","HORSES","","Cheveaux"
"10919","SHEEP","","Mouton"
"10919","SWINE (PIGS)","","Porcs"
"10920","CATTLE","CALVES","Bétails"
"10920","HORSES","FOALS","Cheveaux"
"10920","SHEEP","LAMB","Mouton"
"10920","SWINE (PIGS)","PIGLETS","Porcs"
"10921","DOG OR CAT","","Chien Ou Chat"
"10922","CATTLE","","Bétails"
"10922","DOGS","","Chiens"
"10922","HORSES","","Cheveaux"
"10922","POULTRY","CHICKENS","Volaille"
"10922","POULTRY","TURKEYS","Volaille"
"10922","SHEEP","","Mouton"
"10922","SWINE (PIGS)","","Porcs"
"10923","CATTLE","","Bétails"
"10923","DOGS","","Chiens"
"10923","HORSES","","Cheveaux"
"10923","SHEEP","","Mouton"
"10923","SWINE (PIGS)","","Porcs"
"10944","DOG OR CAT","","Chien Ou Chat"
"10945","DOG OR CAT","","Chien Ou Chat"
"10946","SWINE (PIGS)","","Porcs"
"10956","CATTLE","","Bétails"
"10958","HORSES","","Cheveaux"
"10959","HORSES","","Cheveaux"
"10960","DOG OR CAT","","Chien Ou Chat"
